@relation twitter4j

@attribute fqCaller string
@attribute fqCalls string

@data
'de.jetwick.ui.MySession.afterLogin','twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getUserId twitter4j.User.getScreenName twitter4j.User.getScreenName twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret twitter4j.User.getScreenName'
'de.bsd.zwitscher.NewTweetActivity.onCreate','twitter4j.Status.getText twitter4j.Status.getText twitter4j.Status.getUser twitter4j.Status.getText twitter4j.Status.getText twitter4j.Status.getUser twitter4j.Status.getText twitter4j.Status.getText twitter4j.Status.getUser twitter4j.Status.getText twitter4j.Status.getUser twitter4j.User.getScreenName'
'de.bsd.zwitscher.NewTweetActivity.finallySend','twitter4j.StatusUpdate.<init> twitter4j.GeoLocation.<init> twitter4j.StatusUpdate.setLocation twitter4j.Status.getId twitter4j.StatusUpdate.setInReplyToStatusId'
'de.bsd.zwitscher.NewTweetActivity.direct','twitter4j.User.getId'
'de.bsd.zwitscher.NewTweetActivity.selectUser','twitter4j.User.getScreenName twitter4j.User.getName'
'br.com.syspartenon.partenon.view.NoticiaMB.salvar','twitter4j.Twitter.updateStatus'
'app.jrupac.cleantwitter.OAuth.OAuth','twitter4j.AsyncTwitterFactory.<init> twitter4j.AsyncTwitterFactory.getInstance twitter4j.AsyncTwitter.setOAuthConsumer'
'app.jrupac.cleantwitter.OAuth.getAsyncTwitterInstance','twitter4j.conf.ConfigurationBuilder.<init> twitter4j.conf.ConfigurationBuilder.setOAuthConsumerKey twitter4j.conf.ConfigurationBuilder.setOAuthConsumerSecret twitter4j.conf.ConfigurationBuilder.setOAuthAccessToken twitter4j.conf.ConfigurationBuilder.setOAuthAccessTokenSecret twitter4j.conf.ConfigurationBuilder.build twitter4j.AsyncTwitterFactory.<init> twitter4j.AsyncTwitterFactory.getInstance'
'app.jrupac.cleantwitter.OAuth.getTwitterInstance','twitter4j.conf.ConfigurationBuilder.<init> twitter4j.conf.ConfigurationBuilder.setOAuthConsumerKey twitter4j.conf.ConfigurationBuilder.setOAuthConsumerSecret twitter4j.conf.ConfigurationBuilder.setOAuthAccessToken twitter4j.conf.ConfigurationBuilder.setOAuthAccessTokenSecret twitter4j.conf.ConfigurationBuilder.build twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance'
'app.jrupac.cleantwitter.OAuth.GetRequestToken.doInBackground','twitter4j.AsyncTwitter.getOAuthRequestToken twitter4j.auth.RequestToken.getToken twitter4j.auth.RequestToken.getTokenSecret twitter4j.TwitterException.getMessage'
'app.jrupac.cleantwitter.OAuth.GetRequestToken.onPostExecute','twitter4j.auth.RequestToken.getAuthenticationURL'
'app.jrupac.cleantwitter.OAuth.getAccessToken','twitter4j.auth.RequestToken.<init>'
'app.jrupac.cleantwitter.OAuth.GetAccessToken.doInBackground','twitter4j.AsyncTwitter.getOAuthAccessToken'
'app.jrupac.cleantwitter.OAuth.GetAccessToken.onPostExecute','twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret'
'com.oreilly.android.otweet.authorization.OAuthHelper.configureOAuth','twitter4j.Twitter.setOAuthConsumer twitter4j.Twitter.setOAuthAccessToken'
'com.oreilly.android.otweet.authorization.OAuthHelper.storeAccessToken','twitter4j.http.AccessToken.getToken twitter4j.http.AccessToken.getTokenSecret'
'com.oreilly.android.otweet.authorization.OAuthHelper.loadAccessToken','twitter4j.http.AccessToken.<init>'
'com.github.hborders.stealthmountain.OAuthenticator.main','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.setOAuthConsumer twitter4j.Twitter.getOAuthRequestToken twitter4j.auth.RequestToken.getAuthorizationURL twitter4j.Twitter.getOAuthAccessToken twitter4j.Twitter.getOAuthAccessToken twitter4j.TwitterException.getStatusCode twitter4j.TwitterException.printStackTrace twitter4j.Twitter.verifyCredentials'
'com.github.hborders.stealthmountain.OAuthenticator.printAccessToken','twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret'
'jp.senchan.android.wasatter.client.OldTwitterClient.getItems','twitter4j.internal.http.HttpClientWrapper.get twitter4j.internal.http.HttpResponse.asJSONArray twitter4j.internal.http.HTMLEntity.unescape'
'jp.senchan.android.wasatter.client.OldTwitterClient.updateTimeLine','twitter4j.internal.http.HttpClientWrapper.post twitter4j.internal.http.HttpResponse.asJSONObject twitter4j.TwitterException.printStackTrace'
'jp.senchan.android.wasatter.client.OldTwitterClient.getAuthorization','twitter4j.conf.ConfigurationBuilder.<init> twitter4j.conf.ConfigurationBuilder.setOAuthConsumerKey twitter4j.conf.ConfigurationBuilder.setOAuthConsumerSecret twitter4j.conf.ConfigurationBuilder.setOAuthAccessToken twitter4j.conf.ConfigurationBuilder.setOAuthAccessTokenSecret twitter4j.conf.ConfigurationBuilder.build twitter4j.auth.OAuthAuthorization.<init>'
'jp.senchan.android.wasatter.client.OldWassrClient.OldWassrClient','twitter4j.internal.http.HttpClientWrapper.<init>'
