@relation neo4j

@attribute fqCaller string
@attribute fqCalls string

@data
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getSingleRelationship','org.neo4j.graphdb.Node.getSingleRelationship'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.createRelationshipTo','org.neo4j.graphdb.Node.createRelationshipTo'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.traverse','org.neo4j.graphdb.Node.traverse org.neo4j.graphdb.Node.traverse org.neo4j.graphdb.Node.traverse'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getGraphDatabase','org.neo4j.graphdb.Node.getGraphDatabase'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.hasProperty','org.neo4j.graphdb.Node.hasProperty'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getProperty','org.neo4j.graphdb.Node.getProperty org.neo4j.graphdb.Node.getProperty'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.setProperty','org.neo4j.graphdb.Node.setProperty'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.removeProperty','org.neo4j.graphdb.Node.removeProperty'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getPropertyKeys','org.neo4j.graphdb.Node.getPropertyKeys'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getPropertyValues','org.neo4j.graphdb.Node.getPropertyValues'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.compareTo','org.neo4j.graphdb.Node.getId'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.equals','org.neo4j.graphdb.Node.getId'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecoratorTest.toStringTest','org.neo4j.graphdb.Node.getPropertyKeys org.neo4j.graphdb.Node.getProperty org.neo4j.graphdb.Node.getId'
'org.springframework.data.neo4j.fieldaccess.AbstractNodeRelationshipFieldAccessor.removeMissingRelationships','org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Relationship.getOtherNode org.neo4j.graphdb.Relationship.delete'
'ac.memory.persistence.neo4j.AbstractNodeRepository.getRootNode','org.neo4j.graphdb.GraphDatabaseService.getReferenceNode org.neo4j.graphdb.Relationship.getEndNode org.neo4j.graphdb.GraphDatabaseService.beginTx org.neo4j.graphdb.GraphDatabaseService.createNode org.neo4j.graphdb.GraphDatabaseService.getReferenceNode org.neo4j.graphdb.Transaction.success org.neo4j.graphdb.Transaction.finish'
'org.structr.core.entity.AbstractNode.hashCode','org.neo4j.graphdb.Node.getId'
'org.structr.core.entity.AbstractNode.toString','org.neo4j.graphdb.Node.hasProperty org.neo4j.graphdb.Node.getProperty org.neo4j.graphdb.Node.hasProperty org.neo4j.graphdb.Node.getProperty org.neo4j.graphdb.Node.hasProperty org.neo4j.graphdb.Node.getProperty org.neo4j.graphdb.Node.getId'
'org.structr.core.entity.AbstractNode.execute','org.neo4j.graphdb.Node.removeProperty org.neo4j.graphdb.Node.removeProperty org.neo4j.graphdb.Node.setProperty org.neo4j.graphdb.Node.setProperty org.neo4j.graphdb.Node.setProperty'
'org.structr.core.entity.AbstractNode.getId','org.neo4j.graphdb.Node.getId'
'org.structr.core.entity.AbstractNode.getDatabasePropertyKeys','org.neo4j.graphdb.Node.getPropertyKeys'
'org.structr.core.entity.AbstractNode.getProperty','org.neo4j.graphdb.Node.hasProperty org.neo4j.graphdb.Node.getProperty'
'org.structr.core.entity.AbstractNode.setPropertyInternal','org.neo4j.graphdb.Node.hasProperty'
