@relation hornetq

@attribute fqCaller string
@attribute fqCalls string

@data
'org.jboss.as.messaging.jms.ConnectionFactoryService.ConnectionFactoryService','org.hornetq.jms.server.config.ConnectionFactoryConfiguration.getName'
'org.jboss.as.messaging.jms.ConnectionFactoryService.run','org.hornetq.jms.server.config.ConnectionFactoryConfiguration.getBindings org.hornetq.jms.server.JMSServerManager.createConnectionFactory org.hornetq.jms.server.JMSServerManager.destroyConnectionFactory'
'org.jboss.as.messaging.jms.ConnectionFactoryWriteAttributeHandler.applyOperationToHornetQService','org.hornetq.core.server.HornetQServer.cast org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.api.jms.management.ConnectionFactoryControl.cast org.hornetq.api.jms.management.ConnectionFactoryControl.setClientID org.hornetq.api.jms.management.ConnectionFactoryControl.setCompressLargeMessages org.hornetq.api.jms.management.ConnectionFactoryControl.setClientFailureCheckPeriod org.hornetq.api.jms.management.ConnectionFactoryControl.setCallTimeout org.hornetq.api.jms.management.ConnectionFactoryControl.setCallFailoverTimeout org.hornetq.api.jms.management.ConnectionFactoryControl.setDupsOKBatchSize org.hornetq.api.jms.management.ConnectionFactoryControl.setConsumerMaxRate org.hornetq.api.jms.management.ConnectionFactoryControl.setConsumerWindowSize org.hornetq.api.jms.management.ConnectionFactoryControl.setProducerMaxRate org.hornetq.api.jms.management.ConnectionFactoryControl.setConfirmationWindowSize org.hornetq.api.jms.management.ConnectionFactoryControl.setBlockOnAcknowledge org.hornetq.api.jms.management.ConnectionFactoryControl.setBlockOnDurableSend org.hornetq.api.jms.management.ConnectionFactoryControl.setBlockOnNonDurableSend org.hornetq.api.jms.management.ConnectionFactoryControl.setPreAcknowledge org.hornetq.api.jms.management.ConnectionFactoryControl.setConnectionTTL org.hornetq.api.jms.management.ConnectionFactoryControl.setTransactionBatchSize org.hornetq.api.jms.management.ConnectionFactoryControl.setMinLargeMessageSize org.hornetq.api.jms.management.ConnectionFactoryControl.setAutoGroup org.hornetq.api.jms.management.ConnectionFactoryControl.setRetryInterval org.hornetq.api.jms.management.ConnectionFactoryControl.setRetryIntervalMultiplier org.hornetq.api.jms.management.ConnectionFactoryControl.setReconnectAttempts org.hornetq.api.jms.management.ConnectionFactoryControl.setFailoverOnInitialConnection org.hornetq.api.jms.management.ConnectionFactoryControl.setProducerWindowSize org.hornetq.api.jms.management.ConnectionFactoryControl.setCacheLargeMessagesClient org.hornetq.api.jms.management.ConnectionFactoryControl.setMaxRetryInterval org.hornetq.api.jms.management.ConnectionFactoryControl.setScheduledThreadPoolMaxSize org.hornetq.api.jms.management.ConnectionFactoryControl.setThreadPoolMaxSize org.hornetq.api.jms.management.ConnectionFactoryControl.setGroupID org.hornetq.api.jms.management.ConnectionFactoryControl.setUseGlobalPools org.hornetq.api.jms.management.ConnectionFactoryControl.setConnectionLoadBalancingPolicyClassName'
'org.jboss.as.messaging.ConnectorServiceAdd.addConnectorServiceConfigs','org.hornetq.core.config.Configuration.getConnectorServiceConfigurations'
'org.jboss.as.messaging.ConnectorServiceAdd.createConnectorServiceConfiguration','org.hornetq.core.config.ConnectorServiceConfiguration.<init>'
'org.switchyard.component.hornetq.ConsumerJavaDSLTest.consumerTest','org.hornetq.api.core.client.ClientProducer.send'
'org.switchyard.component.hornetq.ConsumerJavaDSLTest.configure','org.hornetq.core.remoting.impl.invm.InVMConnectorFactory.getName org.hornetq.api.core.TransportConfiguration.<init>'
'org.switchyard.component.hornetq.ConsumerSpringDSLTest.consumerTest','org.hornetq.api.core.client.ClientProducer.send'
'org.jboss.as.messaging.CoreAddressResource.getSecurityRoles','org.hornetq.api.core.management.AddressControl.getRolesAsJSON'
'org.jboss.as.messaging.CoreAddressResource.getAddressControl','org.hornetq.core.server.management.ManagementService.getResource org.hornetq.api.core.management.AddressControl.cast'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.beforeClass','org.hornetq.core.remoting.impl.netty.NettyConnectorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.api.core.client.HornetQClient.createServerLocatorWithoutHA org.hornetq.api.core.client.ServerLocator.setBlockOnDurableSend org.hornetq.api.core.client.ServerLocator.setBlockOnNonDurableSend org.hornetq.api.core.client.ServerLocator.createSessionFactory'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.afterClass','org.hornetq.api.core.client.ClientSessionFactory.cleanup org.hornetq.api.core.client.ClientSessionFactory.close'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.setup','org.hornetq.api.core.client.ClientSessionFactory.createSession org.hornetq.api.core.client.ClientSession.createQueue org.hornetq.api.core.client.ClientSession.createQueue org.hornetq.api.core.client.ClientSessionFactory.createSession'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.cleanup','org.hornetq.api.core.client.ClientSession.close org.hornetq.api.core.client.ClientSession.deleteQueue org.hornetq.api.core.client.ClientSession.deleteQueue org.hornetq.api.core.client.ClientSession.close'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.testListAndCountMessages','org.hornetq.api.core.client.ClientSession.createProducer org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.testMessageCounters','org.hornetq.api.core.client.ClientSession.createProducer org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.testMessageRemoval','org.hornetq.api.core.client.ClientSession.createProducer org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.testMessageMovement','org.hornetq.api.core.client.ClientSession.createProducer org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.testChangeMessagePriority','org.hornetq.api.core.client.ClientSession.createProducer org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientProducer.send'
'org.jboss.as.test.integration.messaging.mgmt.CoreQueueManagementTestCase.testListConsumers','org.hornetq.api.core.client.ClientSession.createConsumer'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.createTopic','org.hornetq.jms.server.JMSServerManager.createTopic'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.startJMSServer','org.hornetq.core.server.HornetQServers.newHornetQServer'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.startJMSServerManager','org.hornetq.jms.server.impl.JMSServerManagerImpl.<init> org.hornetq.jms.server.JMSServerManager.setContext org.hornetq.jms.server.JMSServerManager.start'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.createJMSConnectionFactory','org.hornetq.jms.server.config.impl.ConnectionFactoryConfigurationImpl.<init> org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setUseGlobalPools org.hornetq.jms.server.JMSServerManager.createConnectionFactory'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.stopJMSServer','org.hornetq.core.server.HornetQServer.stop'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.stopJMSServerManager','org.hornetq.jms.server.JMSServerManager.stop'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.createHornetQConfiguration','org.hornetq.core.config.impl.ConfigurationImpl.<init> org.hornetq.core.config.Configuration.setPersistenceEnabled org.hornetq.core.config.Configuration.setSecurityEnabled org.hornetq.core.remoting.impl.netty.NettyAcceptorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.core.config.Configuration.setAcceptorConfigurations org.hornetq.core.config.Configuration.getConnectorConfigurations org.hornetq.core.remoting.impl.netty.NettyConnectorFactory.getName org.hornetq.api.core.TransportConfiguration.<init>'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.createTopic','org.hornetq.jms.server.JMSServerManager.createTopic'
'org.richfaces.demo.push.provider.CustomMessagingServerManagement.startJMSServer','org.hornetq.core.server.HornetQServers.newHornetQServer'
